phase,name,x,y,z,vz
2,,-818.8830661,-851.1891364,-37.779140999942726,-6.09157472564016
2,,-158.2844217,448.6426938,-5.645816535524723,-0.6383160184572385
2,,-342.9516016,-173.4797544,-117.59427041414665,0.7217787931948783
2,,-126.5096421,308.6096175,83.50039069390542,1.205894274486726
2,,-56.67914233,443.2883814,-10.168954458459375,0.48471745916040865
2,,-309.4380104,-146.5193572,-107.35799500583815,3.809367645494473
2,,-351.5589383,-165.5309088,-122.29442936894515,0.09593987389258629
2,,-324.8082591,-174.141936,-124.64991320835698,-0.519341657129365
2,,207.8292307,1002.605388,50.61413462374226,0.40973548540264715
2,,94.8211975,867.8065947,3.0792865219070666,6.492005721996776
2,,74.01333378,812.8096621,-2.029971562356593,3.499800020156663
2,,-5.856376836,623.3191597,24.589355909315962,-2.1955167622259646
2,,-17.01714632,561.1107391,39.936965501885865,-3.536252528167426
2,,-81.16039043,741.8350336,63.74929282924429,-6.272167430888255
2,,-71.15535977,442.6680826,112.45878417463568,-5.020214071687145
2,,-124.0839656,435.3073401,69.87060953647527,-2.521175930457239
2,,-141.9596764,363.5614893,66.22806280351128,-2.4714226940693007
2,,-124.8643722,308.694052,82.75106164547557,-0.2912894773437369
2,,-183.2788879,376.5683905,-33.55878307741999,-0.07397374614331009
2,,-300.4253749,-42.04616697,-90.64070879666393,3.2782738279726766
2,,-365.5722058,-157.4251513,-85.10981901894515,1.1796318848925864
2,,-329.769277,-166.4195493,-111.58890335504437,3.7264067311457154
2,,-311.0673073,-155.0221414,-119.48774450542395,1.9203860199189169
2,,-343.1970352,-218.8206917,-139.6986584307173,0.5304025194686992
2,,-240.6858987,-156.1393998,-83.99073992070097,4.300432243796559
2,,-783.0292632,-616.2696343,-143.0227797843304,-9.47662556977558
2,,-649.8195971,-525.9197759,-93.01299182671785,-7.598526723427873
2,,-492.6716152,-443.3359439,-191.2188118879274,-4.347626933870124
2,,-741.8367498,-605.7672647,-154.42946354581701,-10.854636768287323
2,,-826.0475287,-814.2027067,-54.74376194299097,-10.675013133267452
3,,-804.4156685,-793.67385,-56.79312308875844,-9.449164172518428
3,,-320.8300254,-155.5365347,-107.36279664959012,2.3861615002931114
3,,-326.3172943,-127.7044031,-106.81845884241544,-0.5593002800470535
3,,-306.5825506,-128.3205219,-111.9905435252142,4.999298603213037
3,,-198.2675804,379.1426805,-26.90798586121631,1.0190496082901797
3,,-143.1446646,348.6835879,28.402276486636673,-1.4914712389659643
3,,-308.180874,-119.0880108,-106.09015894936931,3.857811739569426
3,,-304.5600477,-141.4925697,-115.42324854460448,1.2954507590237192
3,,-309.0963874,-112.2958629,-94.92377453991831,3.7574521773130627
3,,-694.1325646,-571.5982706,-174.68293540017197,-5.878203677364055
3,,-824.3178326,-837.9519291,-61.22478697691567,-8.621312035372533
3,,-95.01449077,224.8197776,60.55171097252667,1.1130646286736692
3,,212.5568399,1009.814014,51.592246214089116,1.2481915297404926
3,,-377.6083681,-102.3607048,-79.95010046852754,2.4383471087682604
3,,177.7097336,941.1439204,4.788845523459425,2.9238074865269725
3,,-268.7677522,-133.3731256,-142.4420720699183,1.2148451653130623
3,,221.3078406,999.1031604,29.78615147233885,-3.2606919311320404
3,,13.30649014,744.2377412,-12.161112560719644,1.3382435452846915
3,,-123.9375886,434.1636167,69.45975298852574,-2.452254188717828
3,,-392.1767838,-193.4090186,-119.02098804917624,2.731441987550076
3,,-74.55861813,126.360053,48.192197140449636,1.798448323414373
3,,-790.9714014,-774.3657802,-80.80503920276648,-7.3080970457975605
3,,-740.9939726,-605.2938097,-172.54498523572096,-9.595043795869085
3,,223.8236287,969.9037578,9.434326874985764,3.937037315367222
3,,-298.8893243,-137.9604888,-66.07699255488112,10.678891585830254
3,,-103.1962559,440.6959836,20.057496728518764,3.7052368219739553
3,,-210.446812,-117.0455258,-141.22447834885233,5.1572779028807645
3,,325.3835475,1008.357246,-46.32922391090567,-0.4905234452952474
3,,-161.5380881,382.7860735,-36.74166553507897,0.5417690244591298
3,,-168.3166873,356.5855565,-41.7341864522783,-1.0862486772470998
3,,171.1565481,977.8948905,46.80841026036438,1.3570691191316975
3,,213.6268465,955.9359134,13.387978979410175,4.039263408557394
3,,190.4190208,938.2276365,15.810644683300307,4.166456293133204
3,,-713.4217928,-538.4267074,-193.28198910411857,-9.902646180925759
3,,-341.0625711,-217.1227044,-136.45347262289874,0.8750342705666778
3,,-5.844572178,619.464958,23.597586179752266,-2.1915684625247485
3,,-347.0886314,-136.9046029,-108.15080220184916,-0.3564278587892975
3,,-314.0100137,-177.7475019,-125.74637667117575,1.5066434729137743
3,,-272.4518432,-137.7822466,-119.35201534936931,0.6306733295694258
3,,-680.6802622,-457.4407711,-177.35532456018947,-9.617224028705635
3,,28.98205544,769.9163107,-22.774845637824654,2.2441912302570803
3,,207.258104,926.7830112,12.18167178707392,4.317085658585087
3,,67.52515652,789.3358617,-16.781094293637125,2.429972923985174
3,,14.51672859,733.6320655,-12.097433645839775,-0.9598162874440814
3,,-128.5845169,328.8605457,127.21805263788607,-2.5856970727266293
3,,-372.7273045,-83.49543074,-75.20452267936932,2.5559344775694264
3,,-361.7655412,-98.37500237,-112.06437101292445,3.9533555307853927
3,,-384.4673547,-113.7856676,-74.88215727585043,4.858820306777951
3,,-375.7436132,-113.993333,-68.8859723846461,4.447611813036785
3,,-321.2455353,-142.2398334,-108.79582994022934,3.0733039619852986
3,,-356.0348869,-162.2213026,-111.58348783035525,-0.768586024556118
3,,-367.962562,-173.5617825,-100.8993449420275,-0.3472970967021851
3,,-349.2832404,-231.1542935,-149.0314891454625,2.340029505287885
3,,-690.71429,-469.0304548,-175.0705844786276,-14.099873454478278
3,,-677.0937147,-466.051356,-165.27856859084696,-10.2216424181611
3,,-653.240993,-481.9753016,-222.64356838059797,-5.980120087292912
3,,-510.9257275,-420.202367,-214.41481446298985,-3.196864747174977
3,,-494.9232674,-412.7791451,-213.44634186830942,-5.904460816323947
3,,-815.7915365,-836.0540433,-39.694087943904904,-7.0296788463282285
3,,-818.8830661,-851.1891364,-41.023481711150325,-6.026904880427993
3,,-158.2844217,448.6426938,-5.751370313474268,-0.7147672767178284
3,,-342.9516016,-173.4797544,-116.4003132569575,0.8674644481455651
3,,-126.5096421,308.6096175,84.13391783399132,1.1309052836491058
3,,-56.67914233,443.2883814,-10.491595636188386,0.41491272785026534
3,,-309.4380104,-146.5193572,-105.99216253639558,3.9380979987050626
3,,-351.5589383,-165.5309088,-121.08364083035525,0.24014615044388155
3,,-324.8082591,-174.141936,-123.41431744227695,-0.37737849869467865
3,,207.8292307,1002.605388,50.28039289233885,0.37918930286795915
3,,94.8211975,867.8065947,3.66323396253628,6.506814220304199
3,,74.01333378,812.8096621,-1.6916617839501455,3.5415709337636647
3,,-5.856376836,623.3191597,23.778049286487427,-2.1906581032356085
3,,-17.01714632,561.1107391,39.13323713502737,-3.5610583896589545
3,,-81.16039043,741.8350336,63.23126892461113,-6.2323907033880594
3,,-71.15535977,442.6680826,112.17309327458551,-5.091448080827595
3,,-124.0839656,435.3073401,69.76505575852573,-2.597627188717829
3,,-141.9596764,363.5614893,66.58352045581702,-2.5508485102261735
3,,-124.8643722,308.694052,83.37171947071522,-0.36658751226939534
3,,-183.2788879,376.5683905,-33.16278791667258,-0.15303989354833214
3,,-300.4253749,-42.04616697,-88.9942242774616,3.3610225540733145
3,,-365.5722058,-157.4251513,-83.89903048035525,1.3238381614438817
3,,-329.769277,-166.4195493,-110.33706614670363,3.8668586562557863
3,,-311.0673073,-155.0221414,-118.15093455585043,2.0523070967779518
3,,-343.1970352,-218.8206917,-138.7046052269504,0.6914738209753448
3,,-240.6858987,-156.1393998,-82.53155571936932,4.417648071569427
3,,-783.0292632,-616.2696343,-146.05511383421248,-9.333570935552313
3,,-649.8195971,-525.9197759,-95.21349169735696,-7.404594910090803
3,,-492.6716152,-443.3359439,-192.1835603434601,-4.133254327589706
3,,-741.8367498,-605.7672647,-157.32696882724,-10.698634306948984
3,,-826.0475287,-814.2027067,-58.00583225618318,-10.602861842754745
4,,-804.4156685,-793.67385,-60.04372203006745,-9.361771863727483
4,,-320.8300254,-155.5365347,-106.01474213790802,2.5188377944132894
4,,-326.3172943,-127.7044031,-105.3866497150682,-0.4363367391834325
4,,-306.5825506,-128.3205219,-110.52662805390604,5.118100739019089
4,,-198.2675804,379.1426805,-26.51750078521915,0.9396160155538207
4,,-143.1446646,348.6835879,28.83311030622098,-1.5704707764484007
4,,-308.180874,-119.0880108,-104.60177490684538,3.97323906117907
4,,-304.5600477,-141.4925697,-113.99806074243632,1.419238741850787
4,,-309.0963874,-112.2958629,-93.4177598885943,3.8703226969824485
4,,-694.1325646,-571.5982706,-177.2404280342501,-5.699502110716334
4,,-824.3178326,-837.9519291,-64.4551391624049,-8.551263175272402
4,,-95.01449077,224.8197776,61.530698018005,1.0500908917490985
4,,212.5568399,1009.814014,51.202734961048165,1.2220712238899527
4,,-377.6083681,-102.3607048,-78.5316000425631,2.562956869217336
4,,177.7097336,941.1439204,5.039350785374147,2.8861264324770484
4,,-268.7677522,-133.3731256,-140.93605741859432,1.327715684982448
4,,221.3078406,999.1031604,29.445396174293457,-3.2907939166945193
4,,13.30649014,744.2377412,-12.420714013554559,1.3878220046038183
4,,-123.9375886,434.1636167,69.33598801271074,-2.5285589542059976
4,,-392.1767838,-193.4090186,-117.99558795318971,2.891970736137658
4,,-74.55861813,126.360053,49.54970824980571,1.7615251985834455
4,,-790.9714014,-774.3657802,-84.04989833983697,-7.211630321378672
4,,-740.9939726,-605.2938097,-175.3926246212365,-9.435378609078999
4,,223.8236287,969.9037578,9.292994466953107,3.8979875225489375
4,,-298.8893243,-137.9604888,-64.632140020549,10.800198337289284
4,,-103.1962559,440.6959836,19.84284661051518,3.6313583457995593
4,,-210.446812,-117.0455258,-139.60459436627974,5.249887174117767
4,,325.3835475,1008.357246,-46.830855731260705,-0.4885493583484295
4,,-161.5380881,382.7860735,-36.45965936547968,0.46164219896935466
4,,-168.3166873,356.5855565,-41.28995433180476,-1.1650829162666965
4,,171.1565481,977.8948905,46.77812667989521,1.3162023731014234
4,,213.6268465,955.9359134,13.402566424333042,3.9981648723992262
4,,190.4190208,938.2276365,16.041095171612103,4.128160965606552
4,,-713.4217928,-538.4267074,-195.75430233876435,-9.719575476320315
4,,-341.0625711,-217.1227044,-135.4090854044254,1.0342175975846422
4,,-5.844572178,619.464958,22.784178180543954,-2.1867644212894146
4,,-347.0886314,-136.9046029,-106.7881455917926,-0.22534236793853157
4,,-314.0100137,-177.7475019,-124.46711674289102,1.6463327719067937
4,,-272.4518432,-137.7822466,-117.86363130684538,0.74610065117907
4,,-680.6802622,-457.4407711,-179.23145678847362,-9.412979644419464
4,,28.98205544,769.9163107,-22.834544532137308,2.2957505469037187
4,,207.258104,926.7830112,12.451842954542393,4.280073710272097
4,,67.52515652,789.3358617,-16.60383930734926,2.478287100873138
4,,14.51672859,733.6320655,-12.420169056142402,-0.9117768487225046
4,,-128.5845169,328.8605457,127.71558627366204,-2.663768744830882
4,,-372.7273045,-83.49543074,-73.71613863684539,2.6713617991790706
4,,-361.7655412,-98.37500237,-110.60674253763436,4.072995099578672
