phase,x,y,z,l,b,d
5,-309.1,-112.3,-91.2,200.0,-15.5,341.3
5,-694.1,-571.6,-180.6,219.5,-11.4,917.1
5,-824.3,-838.0,-68.5,225.5,-3.3,1177.5
5,-95.0,224.8,63.5,112.9,14.6,252.2
5,212.6,1009.8,48.2,78.1,2.7,1033.1
5,-377.6,-102.4,-76.4,195.2,-11.0,398.6
5,177.7,941.1,6.7,79.3,0.4,957.8
5,-268.8,-133.4,-138.7,206.4,-24.8,330.6
5,221.3,999.1,26.9,77.5,1.5,1023.7
5,13.3,744.2,-13.5,89.0,-1.0,744.4
5,-123.9,434.2,69.1,105.9,8.7,456.8
5,-392.2,-193.4,-116.5,206.2,-14.9,452.5
5,-74.6,126.4,52.1,120.5,19.5,155.7
5,-791.0,-774.4,-88.2,224.4,-4.6,1110.5
5,-741.0,-605.3,-179.1,219.2,-10.6,973.4
5,223.8,969.9,8.3,77.0,0.5,995.4
5,-298.9,-138.0,-62.5,204.8,-10.7,335.1
5,-103.2,440.7,19.4,103.2,2.5,453.0
5,-210.4,-117.0,-137.1,209.1,-29.7,277.0
5,325.4,1008.4,-51.1,72.1,-2.8,1060.8
5,-161.5,382.8,-35.8,112.9,-4.9,417.0
5,-168.3,356.6,-40.3,115.3,-5.8,396.4
5,171.2,977.9,46.6,80.1,2.7,993.9
5,213.6,955.9,13.5,77.4,0.8,979.6
5,190.4,938.2,17.5,78.5,1.0,957.5
5,-713.4,-538.4,-199.0,217.0,-12.6,915.7
5,-341.1,-217.1,-133.9,212.5,-18.3,425.9
